./data/robust_trajectory/tbp_SUN_lt_earth_to_mars_20_5e-4_348_1.dat
TBP SUN CARTESIAN LT
CONSTANTS : MU [km^3.s^-2], LU [km], WU [s^-1], MASSU [kg]. TU [s], VU = LU * WU [km.s^-1], THRUSTU = 1000 * VU * MASSU * WU [N].
132712440041.9393
149597870.69999999
1.9909836747685179e-07
1000
SPACECRAFT PARAMETERS : INITIAL MASS [MASSU], DRY MASS [MASSU], THRUST [THRUSTU], ISP [TU].
1
0.5
0.084315844509006171
0.00039819673495370355
8
Departure orbit
80, 8
x [LU], y [LU], z [LU], vx [VU], vy [VU], vz [VU], mass [MASSU], dt [TU], 
-0.94051935593492386, -0.34502114073205192, 6.5508953798230768e-06, 0.32817515972135403, -0.94270842740721961, 1.4563605439061728e-05, 1, 0.07953248913275314, 
-0.91149296969278248, -0.41883533198894829, 7.6873944996783175e-06, 0.40132033921339383, -0.91254214908364883, 1.4001299627413882e-05, 1, 0.07953248913275314, 
-0.87675739237622918, -0.49002647700770008, 8.7757487732255093e-06, 0.47167320812686042, -0.87678819380772288, 1.3353646595341555e-05, 1, 0.07953248913275314, 
-0.83655125677446762, -0.55816044386592789, 9.8093521483174562e-06, 0.53882160702345583, -0.83570968060139195, 1.2625291004326373e-05, 1, 0.07953248913275314, 
-0.79114497400506856, -0.62282515372898983, 1.0781984676837496e-05, 0.60237883058846375, -0.78959763849564313, 1.1821290574377062e-05, 1, 0.07953248913275314, 
-0.7408386497055508, -0.68363270025560952, 1.1687843707493866e-05, 0.66198507759861946, -0.7387684822279651, 1.0947074406533061e-05, 1, 0.07953248913275314, 
-0.68595989497391352, -0.74022126837128344, 1.2521571777577407e-05, 0.7173086508434614, -0.68356149541838551, 1.0008401711699893e-05, 1, 0.07953248913275314, 
-0.62686155116910824, -0.79225685393873702, 1.3278281249917147e-05, 0.76804692680172715, -0.62433634398421722, 9.0113212837586483e-06, 1, 0.07953248913275314, 
-0.56391934604807692, -0.83943478748916533, 1.3953575765292397e-05, 0.81392711624550862, -0.56147063814731535, 7.9621319834761528e-06, 1, 0.07953248913275314, 
-0.49752949700147109, -0.88148106646625191, 1.4543568599004678e-05, 0.85470683760104538, -0.49535755710410173, 6.8673444310956099e-06, 1, 0.07953248913275314, 
-0.42810627540947743, -0.91815350139040219, 1.504489802345244e-05, 0.89017452490981419, -0.42640354635624533, 5.7336440409261282e-06, 1, 0.07953248913275314, 
-0.35607954442022427, -0.94924268199293838, 1.5454739786753275e-05, 0.92014969168551564, -0.35502609390761181, 4.5678554717751121e-06, 1, 0.07953248913275314, 
-0.28189228079761808, -0.97457276972358164, 1.5770816821156719e-05, 0.94448307093132655, -0.28165158807194379, 3.3769085133974195e-06, 1, 0.07953248913275314, 
-0.2059980899284766, -0.9940021231272419, 1.5991406294667736e-05, 0.96305665014517072, -0.2067132565409911, 2.1678053817389958e-06, 1, 0.07953248913275314, 
-0.12885872164976175, -1.0074237624480282, 1.6115344115467401e-05, 0.97578361837242178, -0.13064918365642966, 9.475893548936049e-07, 1, 0.07953248913275314, 
-0.050941593279206741, -1.0147656794808908, 1.6142026991897503e-05, 0.98260824033342364, -0.053900400522025493, -2.7668535253247471e-07, 1, 0.07953248913275314, 
0.02728267487483689, -1.0159909981863289, 1.6071412141497622e-05, 0.98350567041907344, 0.023090959312081345, -1.4979826065678806e-06, 1, 0.07953248913275314, 
0.10534270717209727, -1.0110979909430486, 1.5904014731368037e-05, 0.97848171696633768, 0.099883447366604761, -2.7093124135761968e-06, 1, 0.07953248913275314, 
0.18276879984534936, -1.000119954568826, 1.5640903119489369e-05, 0.96757256474535092, 0.1760380408390837, -3.9037581883441861e-06, 1, 0.07953248913275314, 
0.2590953246595753, -0.98312494942188566, 1.5283691953056166e-05, 0.95084446105324882, 0.25111984691688549, -5.0745034050611675e-06, 1, 0.07953248913275314, 
0.33386310626073107, -0.96021540403392358, 1.4834533165855099e-05, 0.92839336825473917, 0.32469978177417919, -6.2148578084358576e-06, 1, 0.07953248913275314, 
0.40662177057419396, -0.93152758685065362, 1.4296104902703089e-05, 0.90034458306947329, 0.39635623522591695, -7.3182833592117499e-06, 1, 0.07953248913275314, 
0.47693206153726897, -0.89723094579494866, 1.3671598385404417e-05, 0.8668523204129025, 0.46567673165432333, -8.3784200798055222e-06, 1, 0.07953248913275314, 
0.54436812317898187, -0.85752731554907546, 1.296470272202413e-05, 0.8280992571806296, 0.53225959711989757, -9.3891119518614023e-06, 1, 0.07953248913275314, 
0.60851974360108574, -0.81264999170344032, 1.2179587649931246e-05, 0.78429602905661466, 0.59571564152598622, -1.0344432998325998e-05, 1, 0.07953248913275314, 
0.6689945567765101, -0.76286267026643173, 1.1320884193452286e-05, 0.7356806712546119, 0.65566986332938126, -1.1238713658331071e-05, 1, 0.07953248913275314, 
0.72542019727775808, -0.70845825049968181, 1.0393663209496378e-05, 0.6825179921040655, 0.7117631825849875, -1.2066567533857977e-05, 1, 0.07953248913275314, 
0.77744640209321825, -0.64975749866116594, 9.4034117895589299e-06, 0.62509886660387304, 0.76365420608737911, -1.2822918553001284e-05, 1, 0.07953248913275314, 
0.8247470526023557, -0.58710757003018377, 8.3560074844593898e-06, 0.56373943553146311, 0.81102102603558057, -1.3503028555849345e-05, 1, 0.07953248913275314, 
